EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score
1,5,5,5,2,5,4,2,2,2,1,5,5,5,5,1,2,4,5,4,5,2,4,2,1,2,5,5,5,2,5,4,5,2,5,2,4,5,5,5,4,2,2,1,1.25,4.625,2.111111111111111,4.111111111111111,2.5
2,2,4,5,5,5,4,4,2,2,2,5,5,5,4,1,4,4,5,5,5,4,5,2,1,2,5,5,5,2,4,2,5,2,4,1,2,5,5,4,4,2,2,2,1.5,4.625,2.888888888888889,3.6666666666666665,2.9
1,5,5,5,1,5,4,4,2,2,1,2,4,5,5,1,5,4,5,5,4,5,4,2,1,2,5,5,5,1,5,5,5,2,5,1,5,5,5,4,4,4,2,5,1.25,4.625,3.3333333333333335,3.7777777777777777,2.7
2,5,4,5,2,5,4,4,2,2,1,4,5,5,5,1,5,4,5,5,5,4,4,4,5,4,5,5,5,2,5,4,5,2,5,1,4,4,5,4,4,2,2,5,1.5,4.375,2.7777777777777777,3.6666666666666665,3.3
1,4,4,5,2,5,5,4,2,2,1,4,5,5,5,1,4,4,5,5,5,4,4,2,5,2,5,5,5,2,4,5,5,4,4,2,5,5,5,4,4,2,3,5,1.375,4.375,2.888888888888889,3.6666666666666665,3.4
1,5,4,5,2,5,4,2,2,2,1,5,4,5,5,1,4,4,5,5,4,2,4,2,5,2,5,5,4,4,5,5,5,4,4,2,5,5,5,4,4,2,4,5,1.375,4.25,2.3333333333333335,3.6666666666666665,3.6
1,5,5,5,5,5,5,4,2,4,1,5,5,5,5,1,2,4,5,5,5,4,4,2,2,2,5,5,5,2,5,4,5,5,4,1,4,5,5,5,4,4,3,5,1.125,4.25,2.6666666666666665,3.7777777777777777,3.7
1,5,4,5,1,5,4,4,2,2,1,5,5,5,5,1,5,4,5,5,4,2,4,4,2,2,5,5,4,4,5,4,5,5,4,1,4,5,5,4,5,5,3,4,1.25,3.875,2.7777777777777777,3.6666666666666665,3.0
1,5,5,5,2,5,4,4,2,5,1,5,4,5,5,1,2,4,5,5,4,2,5,4,5,2,5,5,4,5,4,2,5,4,5,2,5,5,5,5,4,2,2,2,1.5,4.0,1.7777777777777777,3.6666666666666665,3.7
1,5,4,5,2,5,4,2,2,2,1,5,5,5,4,1,5,4,5,5,5,5,4,2,5,2,5,5,4,5,5,5,5,4,4,1,5,4,5,5,4,5,3,5,1.125,4.25,3.111111111111111,3.7777777777777777,3.7
