EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score
5,2,2,1,5,1,2,4,4,5,5,2,2,2,2,5,2,2,2,5,2,2,2,4,5,5,2,2,2,4,1,2,2,5,2,5,2,2,2,2,5,2,2,5,4.875,1.75,2.888888888888889,2.6666666666666665,3.8
5,2,2,1,5,1,2,4,5,5,5,2,2,2,5,5,2,2,1,5,1,2,1,4,5,5,2,2,3,5,1,2,2,5,2,5,5,2,1,4,4,2,3,5,5.0,1.5,2.5555555555555554,2.6666666666666665,4.5
5,2,2,1,5,1,2,4,5,5,5,2,2,2,5,5,2,2,1,5,2,2,2,5,5,5,2,2,2,5,1,2,2,5,2,5,2,2,2,4,5,2,2,5,4.875,1.375,2.888888888888889,2.6666666666666665,4.4
5,2,2,1,5,1,2,2,4,5,5,2,2,2,5,5,2,4,1,5,1,2,1,5,5,5,2,2,2,5,1,2,2,5,2,5,2,2,1,3,5,2,2,5,5.0,1.375,2.888888888888889,2.7777777777777777,4.3
5,2,2,1,5,2,2,4,5,5,5,2,2,2,5,5,2,2,2,5,2,2,2,5,5,5,4,2,4,4,2,2,2,4,2,5,2,2,1,4,4,2,5,5,4.625,1.75,2.6666666666666665,2.3333333333333335,4.4
5,2,2,1,5,2,2,4,5,5,5,2,2,2,5,5,2,4,1,5,1,2,2,5,5,5,4,2,2,5,1,2,2,5,2,5,2,2,2,4,5,2,2,5,4.875,1.375,2.6666666666666665,2.4444444444444446,4.4
5,2,2,1,5,2,2,5,5,5,5,2,2,2,5,5,2,2,1,5,1,2,1,5,5,5,4,2,2,5,1,2,2,4,2,5,2,2,1,3,4,2,2,5,4.875,1.375,2.6666666666666665,2.6666666666666665,4.4
5,2,2,1,5,1,2,4,4,5,5,2,2,5,4,5,2,2,1,5,1,2,2,5,5,5,2,2,2,5,1,2,2,4,2,5,2,2,1,2,5,2,5,4,5.0,1.875,2.888888888888889,2.3333333333333335,4.0
5,2,2,1,5,1,2,4,5,5,5,2,2,2,5,5,2,2,1,5,5,2,1,5,5,5,1,2,2,5,1,2,2,4,2,5,5,2,2,2,5,2,2,5,4.5,1.5,2.6666666666666665,2.7777777777777777,4.2
5,2,2,1,5,1,2,4,5,5,5,2,2,5,5,5,1,2,1,5,1,2,1,5,5,5,5,2,2,5,1,2,2,5,1,5,2,2,1,4,4,2,1,5,5.0,1.625,2.4444444444444446,2.888888888888889,4.6
