EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_Score_Comparison,AGR_Score_Comparison,CSN_Score_Comparison,EST_Score_Comparison,OPN_Score_Comparison
1,5,4,5,2,5,2,2,2,2,1,2,5,5,2,1,2,2,5,2,4,2,2,2,2,1,5,5,5,2,5,2,5,2,5,1,5,5,5,2,4,2,2,2,1.125,4.625,1.8888888888888888,4.444444444444445,1.9,low,low,high,high,low
1,5,4,5,2,4,2,2,2,2,2,2,5,5,2,1,2,2,5,2,4,2,2,2,2,2,5,5,5,2,2,2,5,2,5,1,5,5,5,2,5,2,2,2,1.875,4.625,1.8888888888888888,4.444444444444445,1.8,low,low,high,high,low
1,5,5,5,2,5,2,2,2,2,2,5,5,5,2,1,1,1,5,2,5,2,2,2,2,1,5,5,5,2,5,2,5,2,5,1,5,5,5,2,5,2,2,1,1.125,4.625,1.4444444444444444,4.666666666666667,1.7,low,low,high,high,low
2,5,5,5,2,5,2,2,2,2,1,2,5,5,2,1,2,2,5,2,5,2,1,2,2,1,5,5,5,2,5,2,5,2,5,1,2,5,5,2,5,2,5,1,1.125,4.625,2.2222222222222223,4.333333333333333,1.7,low,low,high,high,low
2,5,5,5,2,5,2,2,2,2,2,5,5,5,2,1,2,1,5,2,4,2,5,2,2,2,5,5,5,2,5,2,5,2,5,2,5,4,5,2,5,2,2,2,1.625,4.625,1.5555555555555556,4.222222222222222,1.8,low,low,high,high,low
2,5,5,5,2,5,2,2,2,2,2,5,5,5,2,1,2,2,5,2,2,2,1,2,2,1,5,5,5,2,2,2,5,2,5,2,2,5,5,2,5,2,2,1,2.125,4.625,1.8888888888888888,4.666666666666667,1.7,low,low,high,high,low
2,5,4,5,2,4,2,2,2,2,1,5,5,5,2,1,2,2,5,2,2,2,5,2,2,2,5,5,5,2,2,2,5,2,5,1,5,5,5,2,4,2,2,1,2.125,4.625,1.5555555555555556,4.111111111111111,1.8,low,low,high,high,low
1,5,5,5,2,5,2,4,2,2,2,2,5,5,2,1,1,2,5,2,4,2,1,2,2,1,5,5,5,2,2,2,5,2,5,1,2,5,5,2,4,2,2,2,1.625,4.625,2.111111111111111,4.444444444444445,1.9,low,low,high,high,low
1,5,5,5,2,4,2,2,2,2,2,2,5,5,2,1,2,1,5,2,5,2,1,2,2,2,5,5,5,2,2,2,5,2,5,2,5,5,5,2,5,2,1,2,1.875,4.625,1.8888888888888888,4.888888888888889,1.8,low,low,high,high,low
2,5,5,5,2,5,2,5,2,2,2,2,5,5,2,1,1,2,5,2,5,2,2,2,2,2,5,5,5,2,5,2,5,2,5,1,5,5,5,2,4,2,2,2,1.375,4.625,1.7777777777777777,4.222222222222222,1.9,low,low,high,high,low
