EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_Score_Comparison,AGR_Score_Comparison,CSN_Score_Comparison,EST_Score_Comparison,OPN_Score_Comparison
2,2,3,2,4,2,4,2,2,3,4,1,4,4,4,4,4,4,2,3,2,2,2,2,4,4,2,4,2,4,2,4,4,4,2,4,4,2,2,2,4,4,2,2,3.75,2.75,3.6666666666666665,3.4444444444444446,3.2,high,low,low,low,low
4,2,4,2,2,1,4,4,2,4,2,1,2,4,2,4,4,2,4,3,3,4,4,4,4,2,2,2,4,4,2,4,4,3,4,4,4,4,1,2,4,4,3,4,3.5,3.0,3.888888888888889,3.0,2.9,high,high,low,high,low
4,2,3,1,4,2,4,4,4,2,1,1,2,2,2,4,4,4,2,4,2,4,1,4,2,4,2,3,3,4,4,4,4,4,4,5,2,4,1,4,4,4,2,2,3.5,1.875,4.111111111111111,3.2222222222222223,2.8,high,high,low,low,low
3,2,4,1,2,1,5,2,3,2,3,1,4,3,2,4,2,2,4,2,1,3,1,2,2,4,2,4,4,4,1,4,4,3,3,4,2,1,2,4,4,4,2,4,4.125,3.0,3.888888888888889,3.7777777777777777,2.7,high,high,high,high,low
4,4,2,4,4,2,4,4,4,2,4,1,2,3,2,2,4,4,1,2,1,4,1,4,3,2,2,4,2,4,4,4,3,3,4,4,4,2,3,4,5,4,2,4,3.375,2.5,3.6666666666666665,2.888888888888889,2.8,low,low,low,low,low
2,2,2,2,2,3,4,4,4,2,1,1,4,3,4,2,4,4,4,4,1,3,2,4,4,2,4,4,3,4,4,2,4,4,4,4,4,3,2,4,4,4,2,4,2.625,2.5,3.333333333333333,3.2222222222222223,3.2,low,low,low,low,low
2,2,3,4,2,2,4,2,4,4,1,1,2,2,4,4,4,3,2,4,2,3,2,4,2,4,1,2,2,4,3,4,2,4,4,4,2,2,2,2,3,4,2,4,3.25,2.25,4.111111111111111,2.888888888888889,3.1,low,high,low,low,low
4,2,4,1,2,2,4,4,4,3,2,1,3,2,2,2,4,3,2,2,2,3,2,4,2,4,1,4,3,4,1,4,4,4,4,4,2,4,4,2,4,4,2,3,3.625,2.25,4.111111111111111,3.555555555555556,2.4,high,high,low,low,low
2,2,4,1,2,2,5,4,2,3,2,1,2,2,1,2,5,2,2,2,1,3,4,5,3,2,1,2,3,4,2,4,4,3,4,5,2,4,3,4,4,4,2,2,3.25,2.375,4.333333333333333,3.111111111111111,2.5,low,high,low,low,low
2,4,4,2,2,4,4,4,3,3,4,1,4,4,2,4,4,4,4,2,1,3,4,4,3,2,4,4,2,2,1,4,2,4,4,5,2,2,2,2,5,4,4,3,3.625,2.625,3.555555555555556,2.6666666666666665,2.2,high,low,low,low,low
