EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,OPN9,AGR9,CSN9,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_Score_Comparison,AGR_Score_Comparison,CSN_Score_Comparison,EST_Score_Comparison,OPN_Score_Comparison
1,2,3,2,5,5,4,2,1,4,1,5,3,2,5,1,4,4,2,5,5,3,1,1,4,1,1,3,4,4,2,4,3,1,2,1,1,2,2,5,3,4,2,3,1.375,3.375,3.7777777777777777,3.2222222222222223,4.2,low,low,low,high,high
1,2,3,2,5,5,4,2,1,4,1,5,3,2,4,1,4,4,2,4,1,4,1,1,4,1,1,3,4,4,2,4,3,2,2,1,1,2,2,5,3,4,2,3,1.875,3.25,3.888888888888889,3.2222222222222223,4.0,low,high,low,high,high
1,2,3,2,5,5,4,2,1,4,1,5,3,2,5,1,4,4,2,5,5,4,1,1,4,1,2,3,4,4,2,4,3,2,5,1,1,2,2,5,3,4,2,3,1.375,3.25,3.7777777777777777,3.2222222222222223,3.9,low,low,low,high,high
1,1,3,2,5,5,4,2,1,4,1,1,3,2,5,1,5,4,2,5,5,3,1,1,4,1,1,3,4,4,2,4,3,2,5,1,1,3,2,5,3,4,3,3,1.375,3.25,4.444444444444445,3.2222222222222223,3.9,low,high,low,high,high
1,2,3,2,5,5,4,2,1,4,1,1,3,2,5,1,4,4,2,5,5,4,1,1,4,1,1,3,4,4,2,4,3,2,2,1,1,2,2,5,3,4,3,3,1.375,3.25,4.333333333333333,3.111111111111111,4.2,low,high,low,high,high
1,2,3,2,5,5,4,2,1,4,1,5,3,2,5,1,5,4,2,5,5,4,1,1,4,1,1,3,4,4,2,4,3,1,5,1,1,2,2,5,3,4,3,3,1.375,3.375,4.0,3.111111111111111,3.9,low,high,low,high,high
1,2,3,2,5,5,4,2,1,4,1,1,3,2,4,1,4,4,2,5,5,4,1,1,4,1,1,3,4,4,2,4,3,1,2,1,1,2,2,5,3,4,3,3,1.375,3.375,4.333333333333333,3.111111111111111,4.1,low,high,low,high,high
1,1,3,2,5,5,4,2,1,4,1,5,3,2,4,1,4,4,2,5,1,3,1,1,4,1,2,3,4,4,2,4,3,2,5,1,1,3,2,5,3,4,3,3,1.875,3.25,3.7777777777777777,3.2222222222222223,3.8,low,low,low,high,high
1,2,3,2,5,5,4,2,1,4,1,5,3,2,5,1,5,4,2,4,5,3,1,1,4,1,1,3,4,4,2,4,3,2,3,1,1,2,2,5,3,4,3,3,1.375,3.25,3.888888888888889,3.111111111111111,4.0,low,high,low,high,high
1,1,3,2,5,5,4,2,1,4,1,5,3,2,4,1,4,4,2,4,5,4,1,1,4,1,1,3,4,4,3,4,3,2,5,1,1,2,2,5,3,4,3,3,1.25,3.25,4.0,3.111111111111111,3.7,low,high,low,high,high
