Label,Num,Adjectives,Synonyms
N-High,1,emotional,"['emotional', 'aroused']"
N-High,2,vulnerable,['vulnerable']
N-High,3,anxious,"['nervous', 'anxious', 'queasy', 'dying']"
N-High,4,depressed,"['grim', 'gloomy', 'depressed', 'down']"
N-High,5,impulsive,"['driving', 'impulsive', 'unprompted']"
N-High,6,self-critical,[]
N-High,7,perfectionistic,[]
N-High,8,avoidant,[]
N-High,9,numbness,[]
N-High,10,catastrophizing,[]
N-High,11,emotional,"['emotional', 'aroused']"
N-High,12,vulnerable,['vulnerable']
N-High,13,anxious,"['nervous', 'anxious', 'queasy', 'dying']"
N-High,14,depressed,"['grim', 'gloomy', 'depressed', 'down']"
N-High,15,impulsive,"['driving', 'impulsive', 'unprompted']"
N-High,16,self-critical,[]
N-High,17,perfectionistic,[]
N-High,18,avoidant,[]
N-High,19,numbness,[]
N-High,20,catastrophizing,[]
A-Low,1,assertive,"['assertive', 'self-assertive', 'self-asserting']"
A-Low,2,determined,"['determined', 'dictated']"
A-Low,3,critical,"['vital', 'critical']"
A-Low,4,eloquent,"['fluent', 'eloquent', 'silver', 'facile', 'silver-tongued']"
A-Low,5,forceful,"['forceful', 'emphatic']"
A-Low,6,inquisitive,"['speculative', 'questioning', 'wondering', 'inquisitive']"
A-Low,7,independent,"['independent', 'sovereign', 'autonomous', 'self-governing']"
A-Low,8,intense,"['acute', 'vivid', 'intense']"
A-Low,9,pugnacious,"['rough', 'hard-boiled', 'hard-bitten', 'pugnacious']"
A-Low,10,resilient,"['bouncy', 'live', 'lively', 'resilient']"
A-Low,11,assertive,"['assertive', 'self-assertive', 'self-asserting']"
A-Low,12,determined,"['determined', 'dictated']"
A-Low,13,critical,"['vital', 'critical']"
A-Low,14,eloquent,"['fluent', 'eloquent', 'silver', 'facile', 'silver-tongued']"
A-Low,15,forceful,"['forceful', 'emphatic']"
A-Low,16,inquisitive,"['speculative', 'questioning', 'wondering', 'inquisitive']"
A-Low,17,independent,"['independent', 'sovereign', 'autonomous', 'self-governing']"
A-Low,18,intense,"['acute', 'vivid', 'intense']"
A-Low,19,pugnacious,"['rough', 'hard-boiled', 'hard-bitten', 'pugnacious']"
A-Low,20,resilient,"['bouncy', 'live', 'lively', 'resilient']"
C-High,1,consistent,"['coherent', 'reproducible', 'consistent']"
C-High,2,dependable,"['honest', 'reliable', 'dependable']"
C-High,3,diligent,"['diligent', 'persevering']"
C-High,4,focused,"['focused', 'focussed']"
C-High,5,industrious,"['tireless', 'untiring', 'industrious', 'energetic', 'hardworking']"
C-High,6,methodical,['methodical']
C-High,7,persistent,"['persistent', 'unrelenting', 'haunting', 'relentless']"
C-High,8,proactive,['proactive']
C-High,9,reliable,"['honest', 'reliable', 'dependable']"
C-High,10,tenacious,"['tenacious', 'retentive', 'dogged', 'recollective', 'long']"
C-High,11,consistent,"['coherent', 'reproducible', 'consistent']"
C-High,12,dependable,"['honest', 'reliable', 'dependable']"
C-High,13,diligent,"['diligent', 'persevering']"
C-High,14,focused,"['focused', 'focussed']"
C-High,15,industrious,"['tireless', 'untiring', 'industrious', 'energetic', 'hardworking']"
C-High,16,methodical,['methodical']
C-High,17,persistent,"['persistent', 'unrelenting', 'haunting', 'relentless']"
C-High,18,proactive,['proactive']
C-High,19,reliable,"['honest', 'reliable', 'dependable']"
C-High,20,tenacious,"['tenacious', 'retentive', 'dogged', 'recollective', 'long']"
O-Low,1,steadfast,"['firm', 'unbendable', 'stiff', 'steady', 'steadfast']"
O-Low,2,consistent,"['coherent', 'reproducible', 'consistent']"
O-Low,3,resolute,"['unhesitating', 'resolute']"
O-Low,4,prudent,['prudent']
O-Low,5,reliable,"['honest', 'reliable', 'dependable']"
O-Low,6,traditionalist,"['hidebound', 'traditionalist']"
O-Low,7,cautious,"['conservative', 'cautious']"
O-Low,8,established,"['accomplished', 'established', 'constituted', 'effected']"
O-Low,9,savvy,[]
O-Low,10,conservative,"['button-down', 'conservative', 'cautious']"
O-Low,11,steadfast,"['firm', 'unbendable', 'stiff', 'steady', 'steadfast']"
O-Low,12,consistent,"['coherent', 'reproducible', 'consistent']"
O-Low,13,resolute,"['unhesitating', 'resolute']"
O-Low,14,prudent,['prudent']
O-Low,15,reliable,"['honest', 'reliable', 'dependable']"
O-Low,16,traditionalist,"['hidebound', 'traditionalist']"
O-Low,17,cautious,"['conservative', 'cautious']"
O-Low,18,established,"['accomplished', 'established', 'constituted', 'effected']"
O-Low,19,savvy,[]
O-Low,20,conservative,"['button-down', 'conservative', 'cautious']"
A-High,1,compassionate,['compassionate']
A-High,2,generous,['generous']
A-High,3,attentive,"['paying_attention', 'heedful', 'attentive', 'thoughtful']"
A-High,4,sympathetic,"['kindly', 'charitable', 'sympathetic', 'benevolent']"
A-High,5,thoughtful,"['serious-minded', 'heedful', 'thoughtful']"
A-High,6,hospitable,['hospitable']
A-High,7,supportive,['supportive']
A-High,8,welcoming,['welcoming']
A-High,9,patient,['patient']
A-High,10,caring,['caring']
A-High,11,compassionate,['compassionate']
A-High,12,generous,['generous']
A-High,13,attentive,"['paying_attention', 'heedful', 'attentive', 'thoughtful']"
A-High,14,sympathetic,"['kindly', 'charitable', 'sympathetic', 'benevolent']"
A-High,15,thoughtful,"['serious-minded', 'heedful', 'thoughtful']"
A-High,16,hospitable,['hospitable']
A-High,17,supportive,['supportive']
A-High,18,welcoming,['welcoming']
