Label,Num,Adjectives,Synonyms
N-Low,1,composed,['composed']
N-Low,2,steadfast,"['unbendable', 'stiff', 'firm', 'steadfast', 'steady']"
N-Low,3,even-tempered,"['good-tempered', 'equable', 'even-tempered', 'placid']"
N-Low,4,calm-centered,[]
N-Low,5,resilient,"['lively', 'resilient', 'live', 'bouncy']"
N-Low,6,peaceful,"['passive', 'peaceful', 'peaceable']"
N-Low,7,grounded,[]
N-Low,8,calmly,[]
N-Low,9,emotionally,[]
N-Low,10,tranquil,"['quiet', 'placid', 'tranquil', 'smooth', 'still']"
O-Low,1,conservative,"['button-down', 'cautious', 'conservative']"
O-Low,2,traditional,['traditional']
O-Low,3,staid,"['staid', 'sedate']"
O-Low,4,conservative-minded,[]
O-Low,5,predictable,['predictable']
O-Low,6,familiar,"['familiar', 'conversant']"
O-Low,7,established,"['established', 'accomplished', 'effected', 'constituted']"
O-Low,8,set-in-their-ways,[]
O-Low,9,traditionalist,"['hidebound', 'traditionalist']"
O-Low,10,pragmatic,"['matter-of-fact', 'pragmatic', 'pragmatical']"
A-Low,1,ambitious,"['ambitious', 'challenging']"
A-Low,2,cautious,"['conservative', 'cautious']"
A-Low,3,assertive,"['assertive', 'self-assertive', 'self-asserting']"
A-Low,4,intense,"['intense', 'acute', 'vivid']"
A-Low,5,analytical,"['analytical', 'analytic']"
A-Low,6,direct,"['unmediated', 'lineal', 'direct']"
A-Low,7,perceptive,['perceptive']
A-Low,8,assertive,"['assertive', 'self-assertive', 'self-asserting']"
A-Low,9,polarizing,[]
A-Low,10,unyielding,"['persistent', 'tenacious', 'dogged', 'pertinacious', 'dour']"
E-High,1,vibrant,"['vibrant', 'vivacious']"
E-High,2,charismatic,"['charismatic', 'magnetic']"
E-High,3,effervescent,"['effervescent', 'sparkling', 'bubbling']"
E-High,4,outgoing,"['extroverted', 'outgoing', 'forthcoming']"
E-High,5,adventurous,"['adventurous', 'adventuresome']"
E-High,6,confident,"['positive', 'convinced', 'confident']"
E-High,7,enthusiastic,['enthusiastic']
E-High,8,lively,"['lively', 'alert', 'brisk', 'racy']"
E-High,9,sociable,['sociable']
E-High,10,exuberant,"['exuberant', 'excessive', 'ebullient', 'extravagant', 'high-spirited']"
O-High,1,visionary,"['laputan', 'visionary', 'windy', 'airy', 'impractical']"
O-High,2,inquisitive,"['inquisitive', 'speculative', 'questioning', 'wondering']"
O-High,3,creative,"['creative', 'originative']"
O-High,4,enthusiastic,['enthusiastic']
O-High,5,introspective,"['introverted', 'self-examining', 'introspective']"
O-High,6,adventurous,"['adventurous', 'adventuresome']"
O-High,7,analytical,"['analytical', 'analytic']"
O-High,8,imaginative,"['imaginative', 'inventive']"
O-High,9,philosophical,"['philosophical', 'philosophic']"
O-High,10,open-minded,['open-minded']
N-High,1,vulnerable,['vulnerable']
N-High,2,emotionally,[]
N-High,3,hyper-vigilant,[]
N-High,4,intense,"['intense', 'acute', 'vivid']"
N-High,5,reactive,"['responsive', 'reactive']"
N-High,6,self-sabotaging,[]
N-High,7,emotionally,[]
N-High,8,crisis-prone,[]
N-High,9,dysphoric,"['unhappy', 'dysphoric', 'distressed']"
N-High,10,trauma-sensitive,[]
A-High,1,empathetic,"['empathic', 'empathetic']"
A-High,2,compassionate,['compassionate']
A-High,3,affable,"['cordial', 'amiable', 'genial', 'affable']"
A-High,4,genial,"['cordial', 'amiable', 'genial', 'affable']"
A-High,5,benevolent,"['sympathetic', 'benevolent', 'kindly', 'charitable']"
A-High,6,cordial,"['cordial', 'amiable', 'genial', 'affable']"
A-High,7,sensitive,"['sensible', 'sensitive']"
A-High,8,caring,['caring']
A-High,9,diplomatic,"['diplomatical', 'diplomatic']"
A-High,10,inclusive,['inclusive']
E-Low,1,discreet,"['circumspect', 'discerning', 'discreet']"
E-Low,2,reflective,"['meditative', 'brooding', 'musing', 'contemplative', 'broody']"
E-Low,3,reserve,[]
E-Low,4,cautious,"['conservative', 'cautious']"
E-Low,5,private,"['private', 'secret', 'individual']"
E-Low,6,introverted,"['introverted', 'self-examining', 'introspective']"
E-Low,7,subdued,"['quiet', 'hushed', 'muted', 'subdued', 'low-key']"
E-Low,8,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
E-Low,9,hesitant,"['hesitant', 'hesitating']"
E-Low,10,low-key,"['subdued', 'low-key', 'low-keyed']"
C-Low,1,distractible,[]
C-Low,2,impetuous,"['impulsive', 'impetuous', 'madcap', 'tearaway', 'hotheaded']"
C-Low,3,disorganized,"['disorganized', 'disorganised']"
C-Low,4,restless,"['ungratified', 'unsatisfied', 'restless']"
C-Low,5,impulsive,"['unprompted', 'driving', 'impulsive']"
C-Low,6,chaos-prone,[]
C-Low,7,flighty,"['flyaway', 'scatterbrained', 'flighty', 'skittish', 'head-in-the-clouds']"
C-Low,8,spontaneous,"['self-generated', 'ad-lib', 'unwritten', 'spontaneous']"
C-Low,9,unstructured,"['unstructured', 'amorphous']"
C-Low,10,easily,[]
C-High,1,meticulous,"['meticulous', 'punctilious']"
C-High,2,driven,"['driven', 'compulsive', 'goaded', 'impelled']"
C-High,3,disciplined,['disciplined']
C-High,4,efficient,"['effective', 'efficient']"
C-High,5,responsible,"['responsible_for', 'responsible', 'creditworthy']"
C-High,6,organized,"['organized', 'unionized', 'organised']"
C-High,7,persevering,"['persevering', 'diligent']"
