MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
5,1,5,5,5,5,2,1,5,2,4,2,5,5,3,5,5,4,1,5,1,5,2,5,5,5,1,3.7777777777777777,3.2222222222222223,2.4444444444444446,high,high,high
5,1,5,5,1,5,4,1,5,5,5,5,5,5,5,5,5,5,1,5,1,3,5,5,2,5,1,3.555555555555556,3.6666666666666665,2.888888888888889,high,high,high
5,1,5,5,2,5,5,1,5,5,3,5,5,5,4,3,5,2,1,5,1,5,5,5,5,2,1,3.7777777777777777,3.4444444444444446,2.4444444444444446,high,high,high
5,1,5,5,1,5,2,1,5,5,5,2,2,5,5,5,3,4,1,5,1,5,5,5,5,5,1,3.333333333333333,3.111111111111111,2.7777777777777777,high,high,high
5,1,5,2,5,2,5,1,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,1,3.4444444444444446,3.6666666666666665,2.7777777777777777,high,high,high
5,1,2,2,5,5,4,1,5,2,5,5,5,5,4,3,5,5,1,5,1,5,5,5,5,5,1,3.333333333333333,3.2222222222222223,2.7777777777777777,high,high,high
4,1,2,5,5,5,2,1,5,5,5,5,5,5,5,5,5,2,1,5,1,3,5,5,5,5,1,3.333333333333333,3.333333333333333,2.555555555555556,high,high,high
5,1,5,5,1,5,2,1,5,5,5,2,2,5,5,2,3,5,1,2,1,5,5,5,5,2,1,3.333333333333333,2.888888888888889,2.7777777777777777,high,low,high
5,1,5,2,1,4,2,1,5,5,4,5,5,5,5,5,5,5,1,5,1,3,5,5,5,5,1,2.888888888888889,3.7777777777777777,2.555555555555556,low,high,high
5,1,5,2,5,5,5,1,5,5,5,2,2,5,5,5,5,5,1,5,1,5,5,5,5,5,1,3.7777777777777777,3.0,2.7777777777777777,high,high,high
