MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score,MAC_Score_Comparison,NAR_Score_Comparison,PSY_Score_Comparison
5,2,2,2,2,2,4,5,2,5,5,5,5,5,2,5,5,5,2,2,2,5,5,5,5,5,2,2.888888888888889,4.0,3.4444444444444446,low,high,high
5,2,5,2,2,5,4,5,2,5,5,5,5,5,5,5,5,5,1,5,2,5,4,5,5,5,2,3.555555555555556,3.6666666666666665,2.888888888888889,high,high,high
5,2,5,2,2,5,2,2,2,5,5,5,5,5,2,5,5,5,1,2,2,5,2,5,2,5,2,3.0,4.0,3.333333333333333,high,high,high
5,1,5,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,3.555555555555556,3.6666666666666665,4.111111111111111,high,high,high
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5.0,4.0,4.444444444444445,high,high,high
5,2,5,2,2,2,4,5,2,5,5,5,5,5,2,5,2,5,2,2,2,5,2,5,5,5,2,3.2222222222222223,4.333333333333333,3.111111111111111,high,high,high
5,2,5,2,2,5,2,5,2,5,2,5,5,5,2,5,4,5,1,3,2,5,2,5,5,5,2,3.333333333333333,4.444444444444445,2.888888888888889,high,high,high
5,2,5,2,2,5,5,5,2,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,2,3.6666666666666665,3.6666666666666665,2.888888888888889,high,high,high
5,2,5,2,2,5,2,5,2,5,5,5,5,5,5,5,5,5,2,2,2,5,2,5,5,5,2,3.333333333333333,3.6666666666666665,3.111111111111111,high,high,high
5,2,5,2,2,5,2,5,2,5,5,5,5,5,5,5,5,5,5,2,2,5,4,5,2,5,2,3.333333333333333,3.6666666666666665,4.0,high,high,high
