MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score
5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,4,3,5,5,3,4,5,4,5,5,1,1,4.666666666666667,3.7777777777777777,3.2222222222222223
4,5,5,3,5,3,5,5,4,5,5,4,5,4,1,5,3,5,5,5,1,3,3,5,1,1,5,4.333333333333333,4.111111111111111,3.2222222222222223
4,4,5,5,5,4,4,4,3,5,1,5,5,5,5,4,3,4,5,3,4,4,5,5,1,1,5,4.222222222222222,4.111111111111111,4.111111111111111
3,4,4,4,5,3,4,5,4,4,3,5,5,3,2,4,3,5,1,3,4,4,4,5,5,1,5,4.0,4.0,3.111111111111111
3,5,4,3,2,4,3,5,4,4,1,5,4,3,5,3,3,5,5,3,5,4,5,5,1,1,5,3.6666666666666665,3.6666666666666665,4.222222222222222
4,4,5,5,2,3,4,5,5,5,1,5,5,4,5,4,4,5,1,3,1,5,4,5,3,1,4,4.111111111111111,4.0,3.0
4,5,4,4,5,3,4,4,5,5,4,5,4,5,1,4,3,5,5,4,1,2,3,5,3,1,5,4.222222222222222,4.222222222222222,3.0
5,5,5,4,5,3,4,5,4,5,4,5,5,5,5,4,3,5,5,3,1,5,4,5,5,1,5,4.444444444444445,3.888888888888889,3.3333333333333335
5,5,5,4,5,4,3,5,4,5,4,5,5,4,4,3,3,5,5,3,1,3,4,5,5,1,4,4.444444444444445,3.7777777777777777,3.0
4,5,4,5,4,4,4,5,4,5,4,5,5,4,4,4,3,5,5,4,4,4,4,5,1,1,5,4.333333333333333,3.888888888888889,3.888888888888889
