MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,PSY1,PSY2,PSY3,PSY4,PSY5,PSY6,PSY7,PSY8,PSY9,MAC_Score,NAR_Score,PSY_Score
5,5,5,1,1,5,1,1,3,2,1,3,2,4,3,4,1,1,1,3,1,1,5,5,1,1,5,3.0,3.2222222222222223,3.0
5,5,5,1,1,3,1,1,4,2,1,1,2,2,5,3,3,5,1,3,1,1,5,5,1,1,5,2.888888888888889,2.6666666666666665,3.0
5,5,5,4,1,5,1,1,4,3,1,1,2,4,3,4,1,5,1,3,1,1,5,5,1,1,1,3.4444444444444446,3.5555555555555554,2.5555555555555554
5,5,5,3,1,5,1,1,5,2,1,1,1,3,1,3,3,1,1,3,1,1,5,5,1,1,5,3.4444444444444446,2.6666666666666665,3.0
5,4,5,1,1,5,1,1,3,2,1,1,1,2,3,4,1,5,1,3,1,1,1,5,1,1,1,2.888888888888889,3.111111111111111,2.111111111111111
5,5,5,1,1,3,1,1,4,2,1,1,1,2,1,3,1,1,1,3,5,1,5,5,1,1,1,2.888888888888889,2.7777777777777777,3.0
5,5,5,3,1,3,1,1,4,2,1,1,1,2,1,3,1,1,1,3,4,1,5,5,1,1,5,3.111111111111111,2.7777777777777777,3.3333333333333335
5,5,5,1,1,5,1,1,4,2,1,1,1,2,3,4,1,3,1,3,1,1,5,5,1,1,5,3.111111111111111,2.888888888888889,3.0
5,5,5,1,1,5,1,1,4,2,1,1,2,4,1,4,1,1,1,3,1,1,4,5,1,1,5,3.111111111111111,3.2222222222222223,2.888888888888889
5,4,5,2,1,5,1,1,4,2,1,1,2,2,3,4,1,5,1,3,1,1,4,5,1,1,1,3.111111111111111,3.2222222222222223,2.4444444444444446
