Label,Num,Adjectives
M-High,1,calculating
M-High,2,strategic
M-High,3,manipulative
M-High,4,aggressive
M-High,5,sly
M-High,6,selfish
M-High,7,adaptable
M-High,8,deceptive
M-High,9,ambitious
M-High,10,unscrupulous
M-High,11,calculating
M-High,12,strategic
M-High,13,manipulative
M-High,14,aggressive
M-High,15,sly
M-High,16,selfish
M-High,17,adaptable
M-High,18,deceptive
M-High,19,ambitious
M-High,20,unscrupulous
P-High,1,adrenaline
P-High,2,daring
P-High,3,risk-taker
P-High,4,impetuous
P-High,5,narcissistic
P-High,6,selfish
P-High,7,chaotic
P-High,8,reckless
P-High,9,detached
P-High,10,pathological
P-High,11,adrenaline
P-High,12,daring
P-High,13,risk-taker
P-High,14,impetuous
P-High,15,narcissistic
P-High,16,selfish
P-High,17,chaotic
P-High,18,reckless
P-High,19,detached
P-High,20,pathological
N-Low,1,unassuming
N-Low,2,down-to-earth
N-Low,3,self-effacing
N-Low,4,subtle
N-Low,5,mild-mannered
N-Low,6,nonchalant
N-Low,7,discreet
N-Low,8,retiring
N-Low,9,modest
N-Low,10,reserved
N-Low,11,unassuming
N-Low,12,down-to-earth
N-Low,13,self-effacing
N-Low,14,subtle
N-Low,15,mild-mannered
N-Low,16,nonchalant
N-Low,17,discreet
N-Low,18,retiring
N-Low,19,modest
N-Low,20,reserved
M-Low,1,integrity-driven
M-Low,2,ethical
M-Low,3,honesty-honored
M-Low,4,sincerity-seeker
M-Low,5,trustworthy
M-Low,6,transparency-taught
M-Low,7,respectful
M-Low,8,straightforward
M-Low,9,moral
M-Low,10,credibility-ensured
M-Low,11,integrity-driven
M-Low,12,ethical
M-Low,13,honesty-honored
M-Low,14,sincerity-seeker
M-Low,15,trustworthy
M-Low,16,transparency-taught
M-Low,17,respectful
M-Low,18,straightforward
M-Low,19,moral
M-Low,20,credibility-ensured
N-High,1,pompous
N-High,2,arrogant
N-High,3,superior
N-High,4,self-righteous
N-High,5,self-aggrandizing
N-High,6,elitist
N-High,7,overbearing
N-High,8,narcissistic
N-High,9,hubristic
N-High,10,inflated
N-High,11,pompous
N-High,12,arrogant
N-High,13,superior
N-High,14,self-righteous
N-High,15,self-aggrandizing
N-High,16,elitist
N-High,17,overbearing
N-High,18,narcissistic
N-High,19,hubristic
N-High,20,inflated
P-Low,1,compassionate
P-Low,2,sympathetic
P-Low,3,sensitive
P-Low,4,considerate
P-Low,5,caring
P-Low,6,thoughtful
P-Low,7,reflective
P-Low,8,benevolent
P-Low,9,altruistic
P-Low,10,peaceful
P-Low,11,compassionate
P-Low,12,sympathetic
P-Low,13,sensitive
P-Low,14,considerate
P-Low,15,caring
P-Low,16,thoughtful
P-Low,17,reflective
P-Low,18,benevolent
P-Low,19,altruistic
P-Low,20,peaceful
M-High-N-Low-P-Low,1,strategic
M-High-N-Low-P-Low,2,pragmatic
M-High-N-Low-P-Low,3,cautious
M-High-N-Low-P-Low,4,empathetic
M-High-N-Low-P-Low,5,responsible
M-High-N-Low-P-Low,6,modest
M-High-N-Low-P-Low,7,reflective
M-High-N-Low-P-Low,8,patient
M-High-N-Low-P-Low,9,sympathetic
M-High-N-Low-P-Low,10,selfless
M-High-N-Low-P-Low,11,strategic
M-High-N-Low-P-Low,12,pragmatic
M-High-N-Low-P-Low,13,cautious
M-High-N-Low-P-Low,14,empathetic
M-High-N-Low-P-Low,15,responsible
M-High-N-Low-P-Low,16,modest
M-High-N-Low-P-Low,17,reflective
M-High-N-Low-P-Low,18,patient
M-High-N-Low-P-Low,19,sympathetic
M-High-N-Low-P-Low,20,selfless
M-Low-N-Low-P-Low,1,honesty-focused
M-Low-N-Low-P-Low,2,transparent
M-Low-N-Low-P-Low,3,moral
M-Low-N-Low-P-Low,4,autonomy-respecting
M-Low-N-Low-P-Low,5,sincerity
M-Low-N-Low-P-Low,6,trustworthy
M-Low-N-Low-P-Low,7,selfless
M-Low-N-Low-P-Low,8,empathetic
M-Low-N-Low-P-Low,9,cautious
M-Low-N-Low-P-Low,10,socially
M-Low-N-Low-P-Low,11,honesty-focused
M-Low-N-Low-P-Low,12,transparent
M-Low-N-Low-P-Low,13,moral
M-Low-N-Low-P-Low,14,autonomy-respecting
M-Low-N-Low-P-Low,15,sincerity
M-Low-N-Low-P-Low,16,trustworthy
M-Low-N-Low-P-Low,17,selfless
M-Low-N-Low-P-Low,18,empathetic
M-Low-N-Low-P-Low,19,cautious
M-Low-N-Low-P-Low,20,socially
M-High-N-High-P-Low,1,strategic
M-High-N-High-P-Low,2,pragmatic
M-High-N-High-P-Low,3,cautious
M-High-N-High-P-Low,4,self-absorbed
M-High-N-High-P-Low,5,empathetic
M-High-N-High-P-Low,6,responsible
M-High-N-High-P-Low,7,adaptable
M-High-N-High-P-Low,8,wise
M-High-N-High-P-Low,9,charismatic
